scheme,outer_fold,parameter_index,parameters,inner_cv_rmse
S2,4,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5250510041338563
S2,4,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5250787145927492
S2,4,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5250806568768592
S2,5,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5129988935496114
S2,5,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5130311701978824
S2,5,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5130702862073826
S2,5,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5130815880060442
S2,5,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5130976479168586
S2,5,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.513101095071158
S2,6,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.521468402297462
S2,6,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5214962192941508
S2,6,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5215844419316267
S2,6,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.521594211661653
S2,6,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5216274656229126
S2,6,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5216304483129659
S2,7,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.503609924277416
S2,7,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5036319902263219
S2,7,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5036559968556239
S2,7,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5036638937062035
S2,7,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5036745533787995
S2,7,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5036769788879515
S2,8,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.512788816352601
S2,8,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.512794816245565
S2,8,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5128248337930557
S2,8,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5128273815120153
S2,8,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5128397961042084
S2,8,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5128406175531443
S2,9,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5131993204657124
S2,9,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5132160598189821
S2,9,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5132548978522875
S2,9,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5132610295015186
S2,9,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5132767643837474
S2,9,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5132786614542936
S2,10,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5134442222144776
S2,10,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5134666768580236
S2,10,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5135441813516161
S2,10,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5135521866710261
S2,10,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5135815423901419
S2,10,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5135839982396894
S3,1,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.19164682535380442
S3,1,3,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 250}",0.20528836119807525
S3,1,1,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400}",0.2091121236435599
S3,1,0,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250}",0.22390858863864635
S3,2,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.17851527786740481
S3,2,3,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 250}",0.1914095139146542
S3,2,1,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400}",0.19869432957732672
S3,2,0,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250}",0.2136414186964295
S3,3,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.179140394696486
S3,3,3,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 250}",0.1922520942129056
S3,3,1,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400}",0.19941477461827928
S3,3,0,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250}",0.2156430579401951
S3,4,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.1864117917216047
S3,4,3,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 250}",0.19814947786906198
S3,4,1,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400}",0.20631571888532033
S3,4,0,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250}",0.22123808086300104
S3,5,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.18219839907387947
S3,5,3,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 250}",0.1960446895932796
S3,5,1,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400}",0.2007639590870849
S3,5,0,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250}",0.21774658606050798
S3,6,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.1835210477085563
S3,6,3,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 250}",0.19677217670471173
S3,6,1,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400}",0.2013025658561729
S3,6,0,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250}",0.21749070944889748
S3,7,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.1791966740141306
S3,7,3,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 250}",0.1948762591197604
S3,7,1,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400}",0.19488419582970384
S3,7,0,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250}",0.2114104881051068
S3,8,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.18061656874844156
S3,8,3,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 250}",0.19395665394523473
S3,8,1,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400}",0.19993727899066213
S3,8,0,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250}",0.21566814382724764
S3,9,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.18530528196714957
S3,9,3,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 250}",0.19578688264626157
S3,9,1,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400}",0.2027040055051306
S3,9,0,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250}",0.21757045720616944
S3,10,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.18223038900887759
S3,10,3,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 250}",0.19482035151052898
S3,10,1,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400}",0.20264728176685468
S3,10,0,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250}",0.2187090581971629
S4,1,1,"{""alpha_1"": 0.001, ""alpha_2"": 0.001, ""lambda_1"": 1e-06, ""lambda_2"": 1e-06}",0.6294969649349311
