mean_standardized_rmse,mean_standardized_mae,mean_spearman,top_k_regret,worst_task_standardized_rmse,scheme,outer_fold,parameters,complexity
0.5565677404866562,0.4445418815635956,0.8456401920795895,0.08944904210579785,0.7689214359319423,S4,1,"{""alpha_1"": 0.001, ""alpha_2"": 0.001, ""lambda_1"": 1e-06, ""lambda_2"": 1e-06}",1989.0
0.5557760744325606,0.4437875834153499,0.8340931133181717,0.0,0.8063147842627559,S4,2,"{""alpha_1"": 0.001, ""alpha_2"": 0.001, ""lambda_1"": 1e-06, ""lambda_2"": 1e-06}",1989.0
0.6376603092436104,0.48130828945878734,0.8071440408549047,0.008070051634469166,0.8817714349482825,S4,3,"{""alpha_1"": 0.001, ""alpha_2"": 0.001, ""lambda_1"": 1e-06, ""lambda_2"": 1e-06}",1989.0
0.5756228710307204,0.46138162001045796,0.8056356002423596,0.0,0.8304293884831851,S4,4,"{""alpha_1"": 0.001, ""alpha_2"": 0.001, ""lambda_1"": 1e-06, ""lambda_2"": 1e-06}",1989.0
0.5805485938327,0.4606525589507211,0.8163451806235845,0.05712446944784477,0.8298823447781386,S4,5,"{""alpha_1"": 0.001, ""alpha_2"": 0.001, ""lambda_1"": 1e-06, ""lambda_2"": 1e-06}",1989.0
0.5781402869156193,0.46618654590758496,0.831416705247044,0.0,0.7808377113717238,S4,6,"{""alpha_1"": 0.001, ""alpha_2"": 0.001, ""lambda_1"": 1e-06, ""lambda_2"": 1e-06}",1989.0
0.5839971795451763,0.4457740410972395,0.8540707085384851,0.10338948893061162,0.7897343806918837,S4,7,"{""alpha_1"": 0.001, ""alpha_2"": 0.001, ""lambda_1"": 1e-06, ""lambda_2"": 1e-06}",1989.0
0.5244917752805976,0.41888377283002104,0.8239578471751318,0.07704686160307117,0.791877175403782,S4,8,"{""alpha_1"": 0.001, ""alpha_2"": 0.001, ""lambda_1"": 1e-06, ""lambda_2"": 1e-06}",1989.0
0.5824675320144436,0.4652594822250773,0.8030649877798043,0.0,0.8827489807612684,S4,9,"{""alpha_1"": 0.001, ""alpha_2"": 0.001, ""lambda_1"": 1e-06, ""lambda_2"": 1e-06}",1989.0
0.5773952845201458,0.46181663872538253,0.8110456303285296,0.0,0.8354368343203054,S4,10,"{""alpha_1"": 0.001, ""alpha_2"": 0.001, ""lambda_1"": 1e-06, ""lambda_2"": 1e-06}",1989.0
